Latest spreadsheet with formulas can be found at: http://spreadsheets.google.com/ccc?key=pzMLD26P55y_0uUEFIiJtRA
COMPONENTS,,,,,,,,,,MATERIALS/PARTS FOR DIY COMPONENTS CALCULATOR
COMPONENT,"QTY, EA",UNIT,BUY QTY,$/UNIT,$$$,VENDOR,PART#,LINK,NOTES,"ANGLE-1x1,IN","SQ-TUBE-1.5,IN","PTFE-1x1,IN","SCREW 6-32 3/8,EA","THREADED-ROD-1/4-20, IN"
belt-XL32OD,1,ea,1,$8.04,$8,SDP/SI,A 6R 3-160037,http://sdp-si.com/eStore/PartDetail.asp?Opener=Group&PartID=49557&GroupID=213,,-,-,-,-,-
belt-XL34OD,1,ea,1,$7.98,$8,SDP/SI,A 6R 3-170037,http://sdp-si.com/eStore/PartDetail.asp?Opener=Group&PartID=30073&GroupID=213,,-,-,-,-,-
coupling-nut-1/4-7/8L,6,ea,6,$0.19,$1,Mcmaster.com,90264A435,http://www.mcmaster.com/nav/enter.asp?partnum=90264A435,or hardware store,-,-,-,-,-
nut-1/4,24,100-pk,1,$2.76,$3,Mcmaster.com,90480A029,http://www.mcmaster.com/nav/enter.asp?partnum=90480A029,or hardware store,-,-,-,-,-
spring-lock-washer-1/4,12,100-pk,1,$1.58,$2,Mcmaster.com,91102A750,http://www.mcmaster.com/nav/enter.asp?partnum=91102A750,or hardware store,-,-,-,-,-
nut-10-24,200+,100-pk,3,$1.38,$4,Mcmaster.com,90480A011,http://www.mcmaster.com/nav/enter.asp?partnum=90480A011,,-,-,-,-,-
screw-10-24-3/8L,,50-pk,1,$5.71,$6,Mcmaster.com,90604A240,http://www.mcmaster.com/nav/enter.asp?partnum=90604A240,or hardware store,-,-,-,-,-
screw-10-24-1/2L,100?,100-pk,2,$3.26,$7,Mcmaster.com,91440A242,http://www.mcmaster.com/nav/enter.asp?partnum=91440A242,,-,-,-,-,-
screw-10-24-3/4L,25?,100-pk,1,$2.7,$3,Mcmaster.com,91440A151,http://www.mcmaster.com/nav/enter.asp?partnum=91440A151,,-,-,-,-,-
screw-10-24-1L,25?,100-pk,1,$5.09,$5,Mcmaster.com,91440A247,http://www.mcmaster.com/nav/enter.asp?partnum=91440A247,,-,-,-,-,-
,,,,,,,,,SUBTOTAL,580,28.5,30,162,126
,,,,,,,,,1 UNIT IS,96,36,12,100,72
MATERIALS/PARTS FOR DIY COMPONENTS
MATERIAL/PART,,UNIT,BUY QTY,$/UNIT,$$$,VENDOR,PART#,LINK,NOTES
AL-angle-1x1,,8-ft,7,$7.92,$55,OnlineMetals.com,N/A,http://www.onlinemetals.com/merchant.cfm?pid=1016&step=4&showunits=inches&id=63&top_cat=60,,7,-,-,-,-
AL-square-tube-1.5,,3-ft,1,$14.54,$15,OnlineMetals.com,N/A,http://www.onlinemetals.com/merchant.cfm?pid=1195&step=4&showunits=inches&id=69&top_cat=60,,-,1,-,-,-
PTFE-angle-1x1,,ft,2.5,$22.57,$56,Mcmaster.com,8604K12,http://www.mcmaster.com/nav/enter.asp?partnum=8604K12,,-,-,2.5,-,-
screw-6-32-3/8,,100-pk,2,$4.44,$9,Mcmaster.com,91440A144,http://www.mcmaster.com/nav/enter.asp?partnum=91440A144,,-,-,-,2,-
threaded-rod-1/4-20,,6-ft,2,$5.27,$11,Mcmaster.com,98750A023,http://www.mcmaster.com/nav/enter.asp?partnum=98957A733,or hardware store,-,-,-,-,2
,,,,TOTAL,$288
